,date_time,title
885221,2020-06-10 16:20:00-04:00,As Expected: Fed Keeps Rates Unchanged and Forecasts Years Of Dovish Policy
885222,2020-06-10 07:34:00-04:00,"Hearing JP Morgan Reiterates Overweight Rating And $535 Price Target On Netflix, Saying  Daily User Growth Remains Elevated & Stable For About 6 Weeks And Download Growth Remains Elevated From Pre-pandemic Levels; Unconfirmed"
885223,2020-06-09 14:11:00-04:00,Netflix Option Trader Makes $73.6M Bet On 5% Upside
885224,2020-06-09 11:20:00-04:00,Netflix shares are trading higher. The stock sold off over the past month amid US business reopenings and appears to be rebounding.
885225,2020-06-08 14:16:00-04:00,Munster Says Under-The-Radar Apple TV+ Will Contribute 20% Of Cupertino's Net Income Growth
885226,2020-06-06 09:18:00-04:00,"ESPAÑOL • Notas de la Semana: Arrestos por Marihuana con Berner, Twista y Chris Webby, Leather Storrs, Trump, THCP, y Más"
885227,2020-06-04 11:01:00-04:00,Citron On Genius Brands: 'The Lowest Form Of Retail Investor'
885228,2020-06-04 01:01:00-04:00,"Why Genius Brands Is On A Massive Rally, Adding Nearly 2500% Value In A Month"
885229,2020-06-03 06:45:00-04:00,"Stocks Keep Rallying Even During Protests Because 'Nobody Is Investing To Make The World A Better Place,' Analysts Say"
885230,2020-06-02 06:12:00-04:00,Tesla CEO Musk Says Other Three Officers Should Be Charged In Floyd's Murder Case
885231,2020-06-01 11:30:00-04:00,How Social Media Stocks Fared During The Pandemic
885232,2020-05-30 13:47:00-04:00,"Benzinga's Bulls And Bears Of The Week: Amazon, Disney, Netflix And More"
885233,2020-05-28 09:13:00-04:00,Martin Scorsese's Next Movie Will Be Financed By Apple: Report
885234,2020-05-27 14:56:00-04:00,What's Behind Netflix's Recent Weakness?
885235,2020-05-27 10:32:00-04:00,A Look Into Netflix's Price Over Earnings
885236,2020-05-27 10:24:00-04:00,"Shares of several companies in the broader technology sector are trading lower despite market strength. Weakness potentially related to business reopenings and eased lockdown restrictions, as several names in the tech sector have benefited from work-from-home, home entertainment and e-commerce trends amid the pandemic."
885237,2020-05-27 09:19:00-04:00,Same Old Leadership Song Lifts These Leveraged ETFs
885238,2020-05-27 09:18:00-04:00,These 10 Stocks Have Surged During The Coronavirus Pandemic
885239,2020-05-26 11:38:00-04:00,"Netflix shares are trading lower. Weakness potentially related to market strength amid vaccine hopes and business reopenings, which could be a potentially negative catalyst for at-home streaming services."
885240,2020-05-26 10:10:00-04:00,Biotech Shares In Focus As Encouraging Vaccine News Leads Broad Market Rally
885241,2020-05-26 07:15:00-04:00,"'FAANG Stocks Are Strong Once Again,' Facebook, Amazon, Netflix Hit Record Highs Last Week"
885242,2020-05-26 02:32:00-04:00,US Most-Subscribed YouTube Channel 'Cocomelon' Coming To Netflix In June
885243,2020-05-23 13:16:00-04:00,"Barron's Picks And Pans: Dropbox, Slack, Starbucks And More"
885244,2020-05-23 12:00:00-04:00,Pistons 'Bad Boy' John Salley Talks 'The Last Dance' And His Relationship With Michael Jordan
885245,2020-05-22 11:44:00-04:00,The Secret to Tech's Resilience to COVID-19- Infrastructure Expansion
885246,2020-05-22 01:10:00-04:00,Netflix To Automatically Cancel Unused Subscriptions
885247,2020-05-21 12:02:00-04:00,"New Investors Pile In, Fuel Record Rise In Account Openings, Trading Volumes"
885248,2020-05-21 11:36:00-04:00,"Citigroup Maintains Neutral on Netflix, Raises Price Target to $450"
