,open,high,low,close,volume,date_time,title
0,1339.52,1352.26,1336.72,1343.16,5239106,2016-08-23,"SunTrust Robinson Humphrey Upgrades Netflix to Buy, Lowers Price Target to $410"
1,1345.82,1349.04,1328.74,1332.52,6276468,2016-08-24,"Benzinga's Top Upgrades, Downgrades For August 24, 2018"
2,1349.32,1375.43,1344.56,1362.48,10823055,2016-08-25,"Netflix Shares Appear Unaffected As Traders Circulate Word Of Positive Commentary By Analyst At Data-Driven Research, Analytics Firm, M Science"
3,1362.62,1371.3,1351.98,1366.12,6617636,2016-08-26,10 Biggest Price Target Changes For Friday
4,1357.58,1378.2958,1351.98,1362.2,8008430,2016-08-29,Netflix shares are trading up 3%; Traders circulating word of positive commentary by analyst at M Science.
5,1369.76,1383.9,1359.96,1364.3,6093536,2016-08-30,"Buy Netflix On The Pullback, SunTrust Says"
6,1364.72,1370.32,1354.64,1364.3,4690614,2016-08-31,"Benzinga's Bulls & Bears Of The Week: Alibaba, Apple, Nike, Tesla, Verizon And More"
7,1369.34,1371.72,1356.824,1363.32,4148621,2016-09-01,Facebook Comms Exec Rachel Whetstone Reportedly Leaving To Join Netflix
8,1370.6,1374.52,1358.14,1363.32,4247182,2016-09-02,UPDATE: Rachel Whetstone Named Netflix Chief Communications Officer
9,1368.64,1404.48,1367.086,1401.26,9036092,2016-09-06,Morgan Stanley Raises Apple's Price Target On Video Optimism
10,1401.54,1402.66,1377.88,1388.1,6468512,2016-09-07,A Timely ETF For September
11,1389.22,1400.7,1383.48,1395.24,5201208,2016-09-08,Infographic: Google Through The Years
12,1386.84,1391.46,1351.0,1351.0,7373319,2016-09-09,"Major tech and social media stocks trading down as executives from Twitter and Facebook testify in front of US Congress; Facebook down 1.7%, Alphabet down 2.4%, Netflix down 4.3%, Snap down 4.6%, Twitter down 5.1%."
13,1342.74,1390.06,1339.94,1386.7,7718351,2016-09-12,"Tech Stocks Fall Amid Twitter, Facebook Senate Testimonies"
14,1360.38,1372.0,1334.62,1345.26,11788078,2016-09-13,"Major tech and social media stocks appear to be modestly rebounding after closing down Wednesday amid Congressional hearings with Facebook and Twitter; Netflix up 2.1%, Snap up 0.4%, Twitter up 0.4%, Facebook up 0.2%, Alphabet up 0.2%."
15,1362.9,1376.9,1357.44,1358.14,8528450,2016-09-14,Netflix Shares Up 2% Premarket After RBC Earlier Reiterated Its Outperformd Rating On The Shares and Lifted Its Price Target From $360 to $440
16,1361.22,1371.58,1351.42,1362.76,5299930,2016-09-15,Clock Ticking On Canada Trade Talks While Sector Rotation Seen
17,1359.4,1392.86,1358.56,1392.72,9445109,2016-09-16,Netflix: A Bull-Bear Debate
18,1398.6,1404.9,1369.48,1372.84,8616183,2016-09-19,"Netflix Rises On Upgrade, But Market Cycles Point Lower"
19,1382.92,1388.24,1367.24,1375.5,4736762,2016-09-20,This Chart Shows Why Netflix Is Primed For A Tumble
20,1356.6,1359.4,1305.64,1328.32,20042236,2016-09-21,"Solid Employment Report, But Tech Selloff Enters Fourth Day"
21,1337.56,1342.32,1319.22,1341.62,11214973,2016-09-22,EXCLUSIVE: Mark Cuban Short 2 Biotech Stocks
22,1340.5,1357.58,1336.02,1343.16,6179471,2016-09-23,"Market Appears To Be in Wait-and-See Mode Ahead of Apple, Central Bank Events"
23,1335.32,1335.32,1316.56,1323.84,6739188,2016-09-26,The Communication Services Sector Is Almost Here
24,1330.56,1366.96,1330.0,1358.98,9680100,2016-09-27,"Air Of Cautious Optimism To Start Day On Positive China Talk, Easing Price Fears"
25,1359.4,1366.26,1344.28,1364.72,7235109,2016-09-28,"Netflix To Report Q3 Earnings Tues., Oct. 16, 2018 After Market Close"
26,1362.34,1376.34,1352.4,1353.38,6217636,2016-09-29,Flipkart Considers Stake in Video Streaming Service Hotstar
27,1356.6,1393.42,1355.06,1379.7,9807925,2016-09-30,"Trade Winds Keep Blowing, Potentially Putting A Barrier On Rally Chances"
