date,open,high,low,close,volume,headline,positive,negative,neutral
2016-08-23,1339.52,1352.26,1336.72,1343.16,5239106,sun trust robinson humphrey upgrade netflix buy lower price target,0.77279586,0.010648271,0.21655577
2016-08-24,1345.82,1349.04,1328.74,1332.52,6276468,benzinga top upgrade downgrade august,0.021453,0.87649405,0.102052934
2016-08-25,1349.32,1375.43,1344.56,1362.48,10823055,netflix share appear unaffected traders circulate word positive commentary analyst data drive research analytics firm science,0.41119528,0.18548696,0.40331778
2016-08-26,1362.62,1371.3,1351.98,1366.12,6617636,biggest price target change friday,0.080678254,0.082193814,0.8371279
2016-08-29,1357.58,1378.2958,1351.98,1362.2,8008430,netflix share trade traders circulate word positive commentary analyst science,0.0625662,0.056337003,0.8810968
2016-08-30,1369.76,1383.9,1359.96,1364.3,6093536,buy netflix pullback sun trust say,0.07708405,0.012799356,0.91011655
2016-08-31,1364.72,1370.32,1354.64,1364.3,4690614,benzinga bull bear week alibaba apple nike tesla verizon,0.04655725,0.017407812,0.93603486
2016-09-01,1369.34,1371.72,1356.824,1363.32,4148621,facebook comms exec rachel whetstone reportedly leave join netflix,0.019828705,0.62360865,0.3565627
2016-09-02,1370.6,1374.52,1358.14,1363.32,4247182,update rachel whetstone name netflix chief communications officer,0.024509065,0.04589662,0.92959434
2016-09-06,1368.64,1404.48,1367.086,1401.26,9036092,morgan stanley raise apple price target video optimism,0.07707448,0.026379108,0.89654636
2016-09-07,1401.54,1402.66,1377.88,1388.1,6468512,timely etf september,0.05017891,0.02116224,0.92865884
2016-09-08,1389.22,1400.7,1383.48,1395.24,5201208,infographic google years,0.02498741,0.04073906,0.9342735
2016-09-09,1386.84,1391.46,1351.0,1351.0,7373319,major tech social media stock trade executives twitter facebook testify front us congress facebook alphabet netflix snap twitter,0.024938736,0.06284716,0.9122141
2016-09-12,1342.74,1390.06,1339.94,1386.7,7718351,tech stock fall amid twitter facebook senate testimonies,0.013613932,0.9147191,0.071667045
2016-09-13,1360.38,1372.0,1334.62,1345.26,11788078,major tech social media stock appear modestly rebound close wednesday amid congressional hear facebook twitter netflix snap twitter facebook alphabet,0.70313466,0.27060914,0.026256261
2016-09-14,1362.9,1376.9,1357.44,1358.14,8528450,netflix share premarket rbc earlier reiterate outperformd rat share lift price target,0.8150493,0.15366408,0.031286564
2016-09-15,1361.22,1371.58,1351.42,1362.76,5299930,clock tick canada trade talk sector rotation see,0.05581042,0.08162008,0.86256945
2016-09-16,1359.4,1392.86,1358.56,1392.72,9445109,netflix bull bear debate,0.07888621,0.08313838,0.8379754
2016-09-19,1398.6,1404.9,1369.48,1372.84,8616183,netflix rise upgrade market cycle point lower,0.52997243,0.062565155,0.4074624
2016-09-20,1382.92,1388.24,1367.24,1375.5,4736762,chart show netflix prim tumble,0.17456046,0.043895844,0.7815436
2016-09-21,1356.6,1359.4,1305.64,1328.32,20042236,solid employment report tech selloff enter fourth day,0.06339226,0.8548885,0.081719205
2016-09-22,1337.56,1342.32,1319.22,1341.62,11214973,exclusive mark cuban short biotech stock,0.041115556,0.016375536,0.9425089
2016-09-23,1340.5,1357.58,1336.02,1343.16,6179471,market appear wait see mode ahead apple central bank events,0.0776765,0.07814672,0.84417677
2016-09-26,1335.32,1335.32,1316.56,1323.84,6739188,communication service sector almost,0.03034034,0.032458495,0.93720114
2016-09-27,1330.56,1366.96,1330.0,1358.98,9680100,air cautious optimism start day positive china talk ease price fear,0.47159714,0.05472375,0.47367907
2016-09-28,1359.4,1366.26,1344.28,1364.72,7235109,netflix report earn tues oct market close,0.105725266,0.77773565,0.11653907
